,comments,like_count,reply_count,author_name,author_url_profile
0,Koi Akshay Kumar ki cutlets kharid lo yar please ....please guys..abhi tak sell nahi hui,1,0,Vivek Pal,http://www.youtube.com/channel/UCkO9TBrTdqA2lQRtKy0yRhA
1,India best bowling attack <br />Mc and wildermut hold the beer mate,0,0,VIVEKSWAR KHANDAI,http://www.youtube.com/channel/UCKjYkLjru1PSLXi5--vWU4Q
2,Australia won the series by 4-0,0,0,niks rajput,http://www.youtube.com/channel/UCzkwT_aMmAEKdYuls6AgEPg
3,Where&#39;s day 4 match,0,0,StatuS world,http://www.youtube.com/channel/UCx02tEw2aaYuBx_zi4Xrzww
4,Who feel bored after akshay kumar ads several time.,0,0,Affan Imam,http://www.youtube.com/channel/UC6A0JzYxixf9VJu7zYb6EHg
5,Why Australia A playing with team India<br />Aussie underestimating Indian Team,0,1,Dawa 24,http://www.youtube.com/channel/UCfxze4nVW-hvbEOs0cc31Gw
6,Rohit,0,0,Lalit Sahu,http://www.youtube.com/channel/UCDj3wYWND9L594pY26gIAcg
7,Join my channel,0,0,commodity live research,http://www.youtube.com/channel/UCTn5CavyAybCCkL-EGZ3EmQ
8,Thakur ke gane Thakur ji gane,0,0,SV editz zone,http://www.youtube.com/channel/UCJbREXX6qx5gJAKWybBeI1Q
9,"I was told that every achievement begins with a decision to try, Ignorance destroy so many opportunities, I&#39;m a victim but i was convinced by the best trading manager in forex on Instagram @ <b>Ryanburnnet_fxtrade</b> with a start up investment of €6,000 and get return profits of €41,055",0,0,Micheal Burton,http://www.youtube.com/channel/UC_bwbOsZYuOjcYkG0CsvVsQ
10,Draw match 👍👍👍,1,0,jaswant Kumar,http://www.youtube.com/channel/UCIieeRKHs1CwQEnjsFH4hLA
11,❤🇮🇳❤<br />Jai hind,0,0,P2 Gaming Live,http://www.youtube.com/channel/UCfxHRAA_6lwq7hLb77APjKg
12,I think most of the viewers and subscribers of this channel are from India or Indian. And when there is a video related to Indian team then it views crosses million but in case of  Aus team it is rare.😅,0,1,Tonmoy JD,http://www.youtube.com/channel/UCHhRu5nyoWTXsa2oD263pmw
13,Wildermuth has got the parts. Needs proper guidance and he will go a long way.,0,2,Amitava Bhattacharyya,http://www.youtube.com/channel/UCn3mYBzBUcfMmxV05qOCX-Q
14,Not long till the Test series now! Who&#39;s excited?? 🔥 🏏,0,0,Players' Lounge,http://www.youtube.com/channel/UC4aVo2eBnDyagUeqtPRV0aA
15,​,0,0,heath ledger,http://www.youtube.com/channel/UCXa7Na7IDFsQdnPYnYjqyiw
16,Had KL Rahul &amp; Kohli skipped the dead rubber in this same ground (3rd T20I).....then possibly India could have had a better outing....but competent Aus A were hit by injuries...but India were put under pressure by getting out for below 200 in FIRST INNINGS......,0,0,CFL,http://www.youtube.com/channel/UC4dXItmdcgk9c-V-TGKV1dA
17,"Wildermutt, Macdermott… Are these players from Hogwarts?",0,0,Sanket Admane,http://www.youtube.com/channel/UCfZxbXJmKhp_QGxStnwZMEQ
18,Hii❤️❤️😭,0,0,oo oo,http://www.youtube.com/channel/UCgLWyXkfv3ixZPJPwHTx_Gw
19,Love from kashmir 🧡,1,0,Kamran Ahad,http://www.youtube.com/channel/UCvyo0bAcWn6gslioaFHU4Mg
20,Cameron green n Jack wildermuth..,0,0,Yashwanth Pasaladi,http://www.youtube.com/channel/UCRvmIs_LKS25TudTFa0wgVA
21,Is wildermuth a batting allrounder or bowling allrounder?,0,0,Yashwanth Pasaladi,http://www.youtube.com/channel/UCRvmIs_LKS25TudTFa0wgVA
22,Thanks India for showing no skills against bowling .now I can bet on Aussies for sure although the odd s are only 1.4 compared to 5 for India .Even the gamblers have written them off completely !!,0,0,Dhanraj Wankhade,http://www.youtube.com/channel/UC1erhYwyc-GZLXq_BUDuGkA
23,Wildermuth in warmups and in bbl too,0,1,Yashwanth Pasaladi,http://www.youtube.com/channel/UCRvmIs_LKS25TudTFa0wgVA
24,Shame on Indian bowlers .can&#39;t get the Aussie A Squad ..I am not sure whether we are looking at a innings defeat every match or would India be able to draw any when the big boys are out !,0,0,Dhanraj Wankhade,http://www.youtube.com/channel/UC1erhYwyc-GZLXq_BUDuGkA
25,Where is ashwin,0,0,Harsh Anand,http://www.youtube.com/channel/UCoc1roBsDvfeKDtR_H_WrWA
26,"well played australia from carey,  mcdermott ,and wildermuth",1,0,vikash bhati,http://www.youtube.com/channel/UCWz2D_wQklUIdrKmNDCxJlw
27,Can you guys please show the milestones all the time? so what if its a single we wanna see the 50s and 100s<br />thyx,0,0,cs:bongo,http://www.youtube.com/channel/UCAsc4x12YZR2IdXCLPlro2g
28,This is old test match,1,1,SHRUJAL TEJ,http://www.youtube.com/channel/UC30kmNluIzIcsYQnV2pk35g
29,24 patties,1,0,HELPING BOY,http://www.youtube.com/channel/UCKVupFo7pz1Bhkoa-Po2M2g
30,Subscribe My Channel for Cricket Highlights ❤🥺,0,0,Cricket Highlights,http://www.youtube.com/channel/UCGCeH3ZNamuCFqA0bD2wYcg
31,1. Mayank Agarwal<br />2. S Gill<br />3. C Pujara<br />4. V Kohli<br />5. A rahane<br />6. H Vihari<br />7. R Pant<br />8. R Ashwin<br />9. U Yadav<br />10. M Shami<br />11. J Bumrah,0,0,Rahul Singh,http://www.youtube.com/channel/UCZ-9oTR_TU5dp0S46BWbqAw
32,tq for dis highlight bro,0,0,Aryan Singh,http://www.youtube.com/channel/UC9eo5yp5pPXkQrdI9zDbAYw
33,😂,0,0,Prajwal Chaudhari,http://www.youtube.com/channel/UCOFM43TLvlp3l5HmwZCEpRg
34,Hdhd,0,0,Angad Kumar,http://www.youtube.com/channel/UCkd003OEnl5ksKphPBfh_ag
